node,SessionID,n_measurements,median_level_dbm,median_snr,median_cqi,link_distance_m,median_speed_kmh,network_tech,operator,lon,lat,hand_m,slope_deg,tri,dist_water_m,dist_power_m,physical_site_group,session_ts
11161,20,2,-81.5,-5.0,6.0,393.4635688593652,29.0,4G,Operator A,101.603299,3.06854967,5.309439182,8.714298812878507,12.025399565968236,325.47534411492677,588.4669858173661,11161,2025-03-06T11:53:40Z
12252,1,9,-103.0,-1.0,9.0,668.7656734423582,2.0,4G,Operator A,101.6058361,3.0607803,2e-05,3.934309910510855,11.537757029231116,123.5186447555074,822.5989162528098,12252,2024-12-03T15:46:55Z
12252,5,57,-95.0,1.0,9.0,148.3322282795317,28.0,4G,Operator A,101.6058361,3.0607803,2e-05,3.934309910510855,11.537757029231116,123.5186447555074,822.5989162528098,12252,2024-12-10T12:38:31Z
12252,11,16,-82.5,1.0,9.0,898.3551944073464,35.0,4G,Operator A,101.6058361,3.0607803,2e-05,3.934309910510855,11.537757029231116,123.5186447555074,822.5989162528098,12252,2024-12-31T12:31:06Z
12252,15,49,-80.0,4.0,12.0,857.2615369886652,37.0,4G,Operator A,101.6058361,3.0607803,2e-05,3.934309910510855,11.537757029231116,123.5186447555074,822.5989162528098,12252,2025-01-16T13:38:12Z
12252,16,218,-104.0,2.0,8.0,233.0865704035611,23.0,4G,Operator A,101.6058361,3.0607803,2e-05,3.934309910510855,11.537757029231116,123.5186447555074,822.5989162528098,12252,2025-01-27T14:31:51Z
12252,17,11,-81.0,-1.0,6.0,556.5265618674165,38.0,4G,Operator A,101.6058361,3.0607803,2e-05,3.934309910510855,11.537757029231116,123.5186447555074,822.5989162528098,12252,2025-02-14T12:38:03Z
12252,18,1,-84.0,5.0,9.0,687.7972641371064,0.0,4G,Operator A,101.6058361,3.0607803,2e-05,3.934309910510855,11.537757029231116,123.5186447555074,822.5989162528098,12252,2025-02-20T12:29:42Z
12252,20,13,-82.0,9.0,9.0,867.5426281149322,38.0,4G,Operator A,101.6058361,3.0607803,2e-05,3.934309910510855,11.537757029231116,123.5186447555074,822.5989162528098,12252,2025-03-06T11:51:42Z
12252,22,321,-101.0,2.0,8.0,236.74929697188634,16.0,4G,Operator A,101.6058361,3.0607803,2e-05,3.934309910510855,11.537757029231116,123.5186447555074,822.5989162528098,12252,2025-03-20T13:42:22Z
16151,5,5,-93.0,-4.0,9.0,873.7307943412724,30.0,4G,Operator A,101.5998692,3.06333711,13.647776604,7.569793294073914,13.973842513124234,105.1665041405302,910.7472993679836,16151,2024-12-10T12:39:38Z
16151,16,37,-105.0,4.0,8.0,135.74606697553583,24.0,4G,Operator A,101.5998692,3.06333711,13.647776604,7.569793294073914,13.973842513124234,105.1665041405302,910.7472993679836,16151,2025-01-27T14:32:06Z
16151,22,62,-106.0,0.0,6.0,90.06830718058859,13.0,4G,Operator A,101.5998692,3.06333711,13.647776604,7.569793294073914,13.973842513124234,105.1665041405302,910.7472993679836,16151,2025-03-20T13:42:43Z
16161,11,6,-85.0,5.0,9.0,12.669511934792602,39.5,4G,Operator A,101.5939899,3.05895633,2.048181534,5.173506655643543,13.930692243760252,266.4855344810989,662.4313391769393,16161,2024-12-31T12:28:38Z
