osm_type,osm_id,lon,lat,man_made,tower_type,operator,name,radio,mobile_phone,tags_json,tower_id
node,12462388214,116.12495,6.0684875,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462388214
node,12462362563,116.1249813,6.0692189,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462362563
node,13759043085,116.2131791,6.0442099,communications_tower,communication,,,UNKNOWN,,"{""access"": ""private"", ""communication:radio"": ""yes"", ""communication:television"": ""yes"", ""man_made"": ""communications_tower"", ""material"": ""steel"", ""tower:construction"": ""lattice"", ""tower:type"": ""communication""}",MY_N13759043085
way,1496819391,116.3295047,5.7010837,tower,communication,,Communication Tower,UNKNOWN,yes,"{""building"": ""yes"", ""communication:mobile_phone"": ""yes"", ""man_made"": ""tower"", ""name"": ""Communication Tower"", ""tower:type"": ""communication""}",MY_W1496819391
way,1183622030,116.3505406,5.6552332,tower,communication,,,UNKNOWN,,"{""building"": ""yes"", ""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_W1183622030
node,5202494203,116.3825687,6.3058522,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:construction"": ""lattice"", ""tower:type"": ""communication""}",MY_N5202494203
node,13719964947,116.4208153,6.3593607,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N13719964947
node,13719053843,116.4325394,6.3551578,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N13719053843
node,5115603531,116.446022,6.2291445,mast,communication,,Menara Telekomunikasi Taginambur,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""height"": ""72"", ""man_made"": ""mast"", ""name"": ""Menara Telekomunikasi Taginambur"", ""tower:construction"": ""lattice"", ""tower:type"": ""communication""}",MY_N5115603531
node,5159160718,116.4488817,6.1424953,tower,communication,,Menara Telekomunikasi Lingkubang,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""tower"", ""name"": ""Menara Telekomunikasi Lingkubang"", ""tower:construction"": ""lattice"", ""tower:type"": ""communication""}",MY_N5159160718
node,5188734187,116.4524872,5.0638378,mast,,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:construction"": ""traliccio""}",MY_N5188734187
node,1662637919,116.49327,5.8883975,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N1662637919
node,1662564012,116.5494701,6.0404691,tower,communication,,Kamborongoh Telekom Station,UNKNOWN,,"{""man_made"": ""tower"", ""name"": ""Kamborongoh Telekom Station"", ""tower:type"": ""communication""}",MY_N1662564012
node,9935128396,116.6649544,5.9505122,mast,communication,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:construction"": ""lattice"", ""tower:type"": ""communication""}",MY_N9935128396
node,1648142937,116.837438,6.8919583,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N1648142937
node,1648142940,116.8378178,6.8921946,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N1648142940
node,1648142939,116.8384445,6.892184,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N1648142939
